C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
0.31238172,0.091525149,-7.0508e-13,0.091525149,0.45009976,-3.6297331e-12,-7.0456858e-13,-3.6295884e-12,0.066530686,0.6128
0.31238173,0.09152515,-7.050261e-13,0.09152515,0.45009977,-3.6282729e-12,-7.0420922e-13,-3.6287998e-12,0.066530687,0.6128
0.31238215,0.091525234,-7.0443093e-13,0.091525234,0.45010054,-3.6285036e-12,-7.0384828e-13,-3.6290779e-12,0.066530747,0.6128
0.31242314,0.091533415,-7.0122002e-13,0.091533415,0.45017546,-3.6259541e-12,-7.0124484e-13,-3.6257612e-12,0.06653655,0.6128
0.31626206,0.092270373,-2.1765073e-13,0.092270373,0.45701847,-3.3094546e-12,-2.169919e-13,-3.3091425e-12,0.067072422,0.616
0.40413032,0.10382932,-4.6733029e-12,0.10382932,0.63294625,6.4739575e-13,-4.6731722e-12,6.4749844e-13,0.084698448,0.7288
0.86278226,0.25857865,2.0292276e-13,0.25857865,0.98032349,-1.7749946e-12,2.0349946e-13,-1.7754423e-12,0.30314719,0.9344
1.0986315,0.3295895,2.5239604e-14,0.3295895,1.0986326,2.5337395e-14,2.5710474e-14,2.5877268e-14,0.38452106,1
1.0989011,0.32967032,2.6067779e-14,0.32967032,1.0989011,2.5873503e-14,2.5395257e-14,2.6094908e-14,0.38461537,1
1.0989011,0.32967033,2.5533899e-14,0.32967033,1.0989011,2.5760116e-14,2.592272e-14,2.6005171e-14,0.38461538,1
1.0989011,0.32967033,2.6167979e-14,0.32967033,1.0989011,2.540429e-14,2.4804691e-14,2.6703464e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
0.2998375,0.08762325,-1.0547385e-12,0.08762325,0.43950867,-3.6350257e-12,-1.054212e-12,-3.635665e-12,0.061580358,0.6112
0.2998375,0.08762325,-1.0540477e-12,0.08762325,0.43950867,-3.6347789e-12,-1.0542642e-12,-3.6365471e-12,0.061580358,0.6112
0.2998375,0.08762325,-1.0539074e-12,0.08762325,0.43950867,-3.6355631e-12,-1.0548965e-12,-3.6344907e-12,0.061580358,0.6112
0.29983751,0.087623251,-1.0542589e-12,0.087623251,0.43950868,-3.6355056e-12,-1.0550589e-12,-3.6353997e-12,0.061580359,0.6112
0.29983806,0.087623366,-1.0549585e-12,0.087623366,0.43950979,-3.6354736e-12,-1.0542093e-12,-3.6360189e-12,0.061580446,0.6112
0.29989133,0.087634514,-1.05124e-12,0.087634514,0.43961677,-3.631307e-12,-1.0509012e-12,-3.6310636e-12,0.061588878,0.6128
0.30483296,0.088613439,-4.6375929e-13,0.088613439,0.4490983,-3.1176126e-12,-4.636653e-13,-3.1175519e-12,0.062357262,0.6128
0.40925541,0.10505661,-2.5758434e-12,0.10505661,0.63642589,-2.7728592e-12,-2.57669e-12,-2.7714818e-12,0.087325363,0.736
0.83620202,0.24977596,4.7976724e-14,0.24977596,0.95271701,-6.29216e-13,4.8067926e-14,-6.2931223e-13,0.28987492,0.9264
1.0963689,0.32891296,2.5700828e-14,0.32891296,1.0964509,2.6888017e-14,2.5045005e-14,2.5626509e-14,0.38372965,1
1.0989008,0.32967024,2.5997003e-14,0.32967024,1.0989008,2.5542651e-14,2.675616e-14,2.5898903e-14,0.38461528,1
1.0989011,0.32967033,2.6185211e-14,0.32967033,1.0989011,2.6383751e-14,2.6140272e-14,2.6121334e-14,0.38461538,1
1.0989011,0.32967033,2.6986693e-14,0.32967033,1.0989011,2.5291824e-14,2.5655065e-14,2.4025341e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
0.31231883,0.091505947,-7.0602973e-13,0.091505947,0.45004646,-3.6299797e-12,-7.0749257e-13,-3.6285802e-12,0.066505789,0.6128
0.31231883,0.091505947,-7.0646839e-13,0.091505947,0.45004646,-3.6287035e-12,-7.073986e-13,-3.6302765e-12,0.066505789,0.6128
0.31231883,0.091505947,-7.0717322e-13,0.091505947,0.45004646,-3.6301082e-12,-7.062008e-13,-3.6298042e-12,0.066505789,0.6128
0.31231884,0.091505948,-7.0688022e-13,0.091505948,0.45004647,-3.6306163e-12,-7.065053e-13,-3.6291027e-12,0.06650579,0.6128
0.31231933,0.091506043,-7.0635937e-13,0.091506043,0.45004739,-3.6297517e-12,-7.0602817e-13,-3.6295529e-12,0.066505863,0.6128
0.31236679,0.091515214,-7.0229754e-13,0.091515214,0.4501365,-3.6253918e-12,-7.0143846e-13,-3.6258042e-12,0.066512901,0.6128
0.31679534,0.092332053,-7.9343594e-14,0.092332053,0.45816625,-3.2104455e-12,-7.9295178e-14,-3.2086268e-12,0.067159437,0.616
0.41289928,0.10615284,-2.8446144e-12,0.10615284,0.63791189,-1.4540333e-12,-2.8451379e-12,-1.452701e-12,0.088668971,0.7312
0.85224778,0.2552253,9.9533014e-14,0.2552253,0.96669476,-1.0273097e-12,9.9765597e-14,-1.0276223e-12,0.29800299,0.9328
1.0978889,0.32936716,2.560476e-14,0.32936716,1.0979027,2.5853367e-14,2.4789025e-14,2.5695213e-14,0.38426128,1
1.098901,0.3296703,2.4628276e-14,0.3296703,1.098901,2.643978e-14,2.5964857e-14,2.5961835e-14,0.38461535,1
1.0989011,0.32967033,2.6476704e-14,0.32967033,1.0989011,2.6518532e-14,2.5758377e-14,2.5228687e-14,0.38461538,1
1.0989011,0.32967033,2.6056328e-14,0.32967033,1.0989011,2.6619851e-14,2.6693428e-14,2.6784631e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
0.31233376,0.091517161,-7.0380564e-13,0.091517161,0.45007248,-3.6294437e-12,-7.0358557e-13,-3.629637e-12,0.066520237,0.6128
0.31233376,0.091517161,-7.0440861e-13,0.091517161,0.45007248,-3.6293528e-12,-7.0448787e-13,-3.629274e-12,0.066520237,0.6128
0.31233376,0.091517161,-7.037933e-13,0.091517161,0.45007248,-3.6289657e-12,-7.0371377e-13,-3.6291493e-12,0.066520237,0.6128
0.31233376,0.091517162,-7.0432588e-13,0.091517162,0.45007248,-3.6300223e-12,-7.0449544e-13,-3.629855e-12,0.066520237,0.6128
0.31233416,0.091517243,-7.0387225e-13,0.091517243,0.45007321,-3.6301955e-12,-7.0406522e-13,-3.6291937e-12,0.066520294,0.6128
0.31237293,0.091525112,-7.0067635e-13,0.091525112,0.4501431,-3.6268806e-12,-7.0067681e-13,-3.6259698e-12,0.066525736,0.6128
0.31600757,0.092236959,-2.7628335e-13,0.092236959,0.45655761,-3.3471638e-12,-2.7663239e-13,-3.3468331e-12,0.067029438,0.616
0.40148771,0.10315508,-6.2879475e-12,0.10315508,0.63037077,1.9312271e-12,-6.287907e-12,1.9299225e-12,0.083597659,0.7264
0.86584918,0.25912527,2.3753841e-13,0.25912527,0.98358058,-2.0184311e-12,2.3808619e-13,-2.0169897e-12,0.30367867,0.9344
1.0987433,0.32962301,2.5628144e-14,0.32962301,1.0987437,2.7121867e-14,2.681073e-14,2.6189316e-14,0.38456017,1
1.0989011,0.32967032,2.5593031e-14,0.32967032,1.0989011,2.490138e-14,2.5021401e-14,2.6270466e-14,0.38461538,1
1.0989011,0.32967033,2.6043168e-14,0.32967033,1.0989011,2.6158054e-14,2.667717e-14,2.5834731e-14,0.38461538,1
1.0989011,0.32967033,2.5986608e-14,0.32967033,1.0989011,2.5623648e-14,2.5748712e-14,2.5651851e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
