C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
0.21409341,1.028244e-09,5.8539424e-15,1.028245e-09,3.4275045e-09,5.9713364e-15,5.119252e-15,4.6362845e-15,1.199629e-09,0.2
0.21409479,1.0282464e-09,5.5099379e-15,1.0282457e-09,3.4275065e-09,5.21332e-15,5.213347e-15,5.7940915e-15,1.1996295e-09,0.2
0.21422681,1.0282976e-09,5.7255357e-15,1.0282973e-09,3.4277428e-09,4.8457853e-15,6.0077848e-15,5.948682e-15,1.1997122e-09,0.2
0.2199638,1.0424749e-09,5.4620319e-15,1.0424753e-09,3.4944743e-09,6.2977878e-15,6.4444913e-15,6.4137435e-15,1.2255333e-09,0.2128
0.25071579,1.1110695e-09,6.4116981e-15,1.1110708e-09,3.805176e-09,6.822613e-15,6.9866509e-15,7.1320694e-15,1.343749e-09,0.2576
0.31647227,1.2654368e-09,8.2681852e-15,1.2654363e-09,4.3933874e-09,8.92125e-15,8.5386563e-15,9.0766424e-15,1.5550392e-09,0.3264
0.39562496,1.5029317e-09,1.0977663e-14,1.5029314e-09,5.2280202e-09,1.0434669e-14,1.0957232e-14,1.0838995e-14,1.8528239e-09,0.4064
0.47482133,1.852303e-09,1.352374e-14,1.8523028e-09,6.4614978e-09,1.2984106e-14,1.1931651e-14,1.1850926e-14,2.2935623e-09,0.4864
0.55389514,2.4206641e-09,1.4655768e-14,2.4206647e-09,8.4808058e-09,1.3668771e-14,1.4325017e-14,1.5759297e-14,3.0165456e-09,0.5664
0.6329536,3.5390051e-09,1.6754161e-14,3.5390064e-09,1.2460896e-08,1.6243722e-14,1.568663e-14,1.493856e-14,4.4453444e-09,0.6448
0.71204941,7.2192134e-09,1.7302769e-14,7.2192144e-09,2.5403855e-08,1.7427276e-14,2.0892174e-14,1.7723797e-14,9.1079133e-09,0.7248
0.79120344,5.4224503e-06,2.1197852e-14,5.4224503e-06,1.7800672e-05,2.2223518e-14,2.1143047e-14,2.0810939e-14,6.118881e-06,0.8032
0.8817905,0.035047527,2.5241468e-14,0.035047527,0.10797386,2.2794588e-14,2.1839181e-14,2.2566224e-14,0.041078131,0.8832
